,Id,User,Tweet,tr_tweet
15,16,DPurextreme,@danushman Mf is probably childfree,@danushman Mf is probably childfree
16,17,nyxx_leah,"@diamajasih bahkan aku yang masih single sudah berencana untuk childfree, tahu2 aku mandul penyakitan","@diamazasih even I who am still single have planned to be childfree, you know I'm sickly infertile"
17,18,fathullahfathu2,"@WaloKukus @ilhamkvra @notexactlyme24 @rizieqdivist Apalagi di tambah ada gita Gita yang childfree kmren itu yang nggak mau punya anak kecil, bakalan ngamuk ngamuk dia di pesawat denger bayi nangis 😅😅😅😅😅","@WaloKukus @ilhamkvra @notexactlyme24 @rizieqdivist What's more, with the addition of Gita Gita who is childfree yesterday who doesn't want to have small children, he will go berserk on the plane hearing a baby cry 😅😅😅😅😅"
18,19,Bisnismudaid,"Ramai Soal Childfree dan Childphobia, Ini Gejala dan Perbedaannya.

Beberapa waktu terakhir istilah childfree kembali menjadi perbincangan banyak orang, pemantiknya tentu dari statement Youtuber Gita Savitri Devi atau Gitasav. https://t.co/Djje5VsN6M","Lots of Problems Childfree and Childphobia, These are the Symptoms and the Differences.

Recently, the term childfree has returned to being discussed by many people, the trigger is of course from the statement of Youtuber Gita Savitri Devi or Gitasav. https://t.co/Djje5VsN6M"
19,20,zayn_fiu,"Sudah barang pasti kita akan dicap, dianggap melanggar HAM. dianggap tidak menghormati kebebasan berpendapat sebagai negara demokrasi. Kan repot, padahal LGBT dan childfree dan pemikiran serupa tidak kalah berbahaya nya. 
Bayangkan saja, kalau semua orang membenarkan childfree.","It is certain that we will be labeled as violating human rights. considered as not respecting freedom of expression as a democratic country. It's a hassle, even though LGBT and childfree and similar thoughts are no less dangerous.
Just imagine, if everyone justifies childfree."
20,21,zayn_fiu,"Itu juga berbahaya, kalau kita menolak terorisme, fanatisme, dan radikalisme masih jelas. Tpi kalau kita menolak childfree atau LGBT dianggap tidak 'open minded', dianggap tidak toleransi. Terlebih Kalau kita kampanye anti childfree atau LGBT.","It is also dangerous if we reject terrorism, fanaticism and radicalism, it is still clear. But if we reject childfree or LGBT, they are considered not 'open minded', they are considered intolerance. Especially if we campaign against childfree or LGBT."
21,22,zayn_fiu,"Memang itu berbahaya, tpi  ketidak mampuan kita memahami perbedaan hingga akhirnya bisa membuat bangsa terpecah belah, itu juga berbahaya. 
Yg arti nya;  ideologi yg berbahaya tidak hanya terorisme, radikalisme, atau fanatisme. Ideologi seperti childfree, LGBT atau sex bebas.","Indeed it is dangerous, but our inability to understand the differences that can ultimately divide the nation, is also dangerous.
Which means; A dangerous ideology is not only terrorism, radicalism, or fanaticism. Ideologies such as childfree, LGBT or free sex."
22,23,CanariaComparte,"Cabreo razonable.
Luego dais la chapa a los hoteles childfree. Ya. 
En la plaza de mi barrio no se puede estar cuando vienen 3 chavales de entre 10 y 13 años que se dedican a golpear los aparatos de gimnasia y no les puedes decir ""qué haces?"" porque se ríen en tu cara.","Reasonable anger.
Then you give the sheet to the childfree hotels. Already.
You can't be in my neighborhood square when 3 kids between the ages of 10 and 13 come who are dedicated to hitting the gym equipment and you can't tell them ""what are you doing?"" because they laugh in your face."
23,24,dugonggkrispiii,@hylmii_ jangan2 pengen childfree 🤣,@hylmii_ don't want to be childfree 🤣
24,25,arlemun,"@tanyakanrl Teruntuk yang Childfree, gimana cara kalian meyakinkan orang tua kalian? Dan apa pasangan kalian setuju?","@tanyakanrl For those who are Childfree, how do you convince your parents? And do your partners agree?"
25,26,ComicsByVieN,Childfree by choice gang 🤝,Childfree by choice gang 🤝
26,27,ITBSF,"@purpylrus @kochengfs Tanda sudah disterilkan alias sudah #childfree Kak, disebut ear tip atau ET 👍🏻","@purpylrus @kochengfs A sign that it's been sterilized aka already #childfree Sis, it's called ear tip or ET 👍🏻"
27,28,mooniyy,Tumben diakuin  katanya childfree,Tumben admits that he is childfree
28,29,mccih,@kegblgnunfaedh childfree ternyata tidak terlalu buruk,@kegblgnunfaedh childfree isn't so bad after all
29,30,aginrpratamaa,@Seastormx1 @CharmingDevilll @kegblgnunfaedh Udah paling bener Childfree dah,@Seastormx1 @CharmingDevilll @kegblgnunfaedh It's really Childfree already
30,31,alpha_queen10,"@tanyakanrl Fyi sekarang gue udh mau 27 tahun, tahun ini udah lamaran dan insya Allah tahun depan nikah. Dari yg awalnya gue takut nikah dan pgn childfree, jadi pengen banget nikah dan kasih keturunan buat pasangan gue karena dia selayak itu, karena dia sangat menghargai dan sayang gue.","@tanyakanrl Fyi now I'm 27 years old, this year I've proposed and God willing, next year I'll get married. From the beginning I was afraid of getting married and wanting to be childfree, so I really want to get married and give offspring to my partner because he is like that, because he really appreciates and loves me."
31,32,imardiannaa,@tanyakanrl Kasih gw alasan kenapa harus NIKAH? Apakah sebahagia itu?? soalnya gw masih menganut #tidakmenikah dan #childfree,@tanyakanrl Give me a reason why you have to MARRY? Is that happy?? because I still adhere to #unmarried and #childfree
32,33,irfan_zidni26,@kegblgnunfaedh Ya childfree ae 🗿,@kegblgnunfaedh I'm not sure
33,34,rechtsstaats,Childfree,Childfree
34,35,kembangsepasang,"@JadiEmakEmak @tigerawrhoba @tanyakanrl dua ini alasan harus pny anak cowo ya di lngkunganku. tp ya bayangin nanti trnyata anaknya milih childfree, g bs pny anak, atau umurnya pendek.
kaitan ngurus ortu, di keluargaku uda membuktikan, justru yg care sama ortu sampe tua y anak2 cewe nya. anak laki2nya pd masa bodo","@JadiEmakEmak @tigerawrhoba @tanyakanrl these two reasons to have a boy in my environment. but imagine that later it turns out that their children choose childfree, they can't have children, or they are short in age.
With regards to taking care of parents, in my family it has been proven, it is the girls who care for parents until they are old. his sons at the stupid period"
35,36,fairusniratama,@Tribudi27_ @dprhiburanmalam eranya childfree,@Tribudi27_ @dprhiburanmalam in the era of childfree
36,37,hujanrahmatchya,@killistrachlyda @kochengfs childfree wkwkwk,@killistrachlyda @kochengfs childfree wkwkwk
37,38,writerfreax,@geloraco Dah bener childfree aja BK ini malah bikin problematik,"@geloraco It's true that BK is childfree, it's actually causing problems"
38,39,brzndal,childfree,childfree
39,40,Kiky_wang,"@tanyakanrl Based on this, so I take decision untuk ndak nikah and childfree ajah biar aman~","@tanyakanrl Based on this, so I made the decision not to get married and be childfree just to be safe~"
40,41,WEizki,"Nnti kalo bangchan yg dtg, aku yg childfree auto pengen anak kembar 8","Later, if Bangchan comes, I, who am childfree, automatically want 8 twins"
41,42,popgirlyy,hopefully I'll meet a man who's willing to be childfree because my monthly menstrual cramp is enough to remind me that I'll never make it through labour pain,hopefully I'll meet a man who's willing to be childfree because my monthly menstrual cramp is enough to remind me that I'll never make it through labour pain
42,43,tineeshao,grossest stuff were said just because im #childfree 🤢🤢🤢,grossest stuff were said just because im #childfree 🤢🤢🤢
43,44,Beritasatu,Quraish Shihab Khawatir dengan Fenomena Childfree https://t.co/torb3aLAbj,Quraish Shihab Worries About Childfree Phenomenon https://t.co/torb3aLAbj
44,45,hujanrahmatchya,"@tanyakanrl pernah dengar dr Buya Yahya, boleh selama ada tujuan utk kemaslahatan. misalkan terlalu bnyk kucing beranak, kucingnya menganggu. kl cm iseng tanpa alasan, ga boleh..

kucingku di rumah udh childfree. jd mereka lbh sehat, pakan lebih terjamin krn cm 2 ekor jd bs beli pakan mahal.","@tanyakanrl I've heard from Buya Yahya, it's okay as long as there is a goal for benefit. for example too many cats give birth, the cats are disturbing. If it's just fun for no reason, it's not allowed..

My cat is childfree at home. so they are healthier, more secure feed because cm 2 tails can buy expensive feed."
45,46,RatelsKiss,"@summernight_01 @tanyakanrl Iya geli sih tapi gak perlu marah sih.
Ntar nikah terus kamu melahirkan, masa gamau ngerawat kamu kecuali emang mau childfree 🥲","@summernight_01 @tanyakanrl It's amused but there's no need to be angry.
Later you get married and give birth, don't want to take care of you unless you really want to be childfree 🥲"
46,47,parasantren,Childfree ajalah,Just childfree
47,48,parasantren,Mendukung childfree : don't have kids if it's not your dream,Mendukung childfree : don't have kids if it's not your dream
48,49,adrianseptiad1,"Sexual Harassment, Bullying, Fatherless, Childfree, dll.

Yang mau nambahin, komen aja...","Sexual Harassment, Bullying, Fatherless, Childfree, etc.

What do you want to add, just comment..."
49,50,offisyelstore,@lerkvd Padahal yang buang kucingnya childfree,@lerkvd Even though the one who throws away the cat is childfree
50,51,kdltrbng,@shenevercomee childfree ye,@shenevercomee childfree ye
51,52,kahfmus,@kunpera @banjarbase bolehlah childfree? 🥺,@kunpera @banjarbase can I be childfree? 🥺
52,53,SedoManah,@DrLoupis part of the depopulation - childfree https://t.co/Gyq63oDv3I,@DrLoupis part of the depopulation - childfree https://t.co/Gyq63oDv3I
53,54,twoister,"@FWBESS Temenan hayug, aku mau childfree malah ada rencana buat pasang IUD/ngiket rahim 😅","@FWBESS Friends hayug, I want to be childfree instead I have a plan to have an IUD/uterine binding 😅"
54,55,zhamdani_,Niatnya Childfree tapi malah kebablasan Chuakzzzz,His intention was Childfree but instead Chuakzzzz went too far
55,56,insopmnia,@FWBESS KAMU HARUS TEMENAN SAMA AKUUUU!!!! susah jg nemu cowo childfree,@FWBESS YOU MUST BE FRIENDS WITH ME!!!! It's also hard to find childfree guys
56,57,Matchasihh__,@lerkvd Childfree : Ga ngaruh bosss😭😭😭,@lerkvd Childfree : Don't affect bosss😭😭😭
57,58,panitiaasbmptn,@alratanzar @lerkvd @nanddsss yang childfree ditinggal tuhannya,@alratanzar @lerkvd @nanddsss who is childfree left by his god
58,59,EsGremVanilla,Ketika lu liat temen2 pada sambat rumpiknya ngurus anak. Disitu setan childfree membisik di telinga,When you see your friends are busy taking care of the children. There the childfree devil whispered in his ear
59,60,Nana_naa07,@tanyakanrl Punya anak atau childfree?,@tanyakanrl Have children or childfree?
60,61,alratanzar,@lerkvd @nanddsss childfree belyke : ngga ngaruh boskuuu,@lerkvd @nanddsss childfree belyke : don't affect my boss
61,62,BRe_anAdam,"@batjaankoe @kegblgnunfaedh Apa Childfree slaah satu target Media yang makin hari makin berhasil ya?
Untungnya aku pecinta bayik2 dan bocil2 
Semoga selalu begitu (akunya)","@batjaankoe @kegblgnunfaedh Is Childfree one of the media targets that is getting more and more successful, right?
Luckily I'm a baby and toddler lover
I hope it's always like that (account)"
62,63,agunglaksnoo,@lerkvd Yang childfree jadi kek squidward yg makan lukisan sendiri,@lerkvd The childfree one is like Squidward who eats his own painting
63,64,penggerutu_,"Yang heteroseksual mau childfree, yang ini ngurusin anak orang. 😌😌😌","Heterosexuals want to be childfree, this one takes care of other people's children. 😌😌😌"
64,65,putrapetir_007,"@masjalu_17 @strike_bravo_b Makanya ikut childfree,

Cuaks, padahal pemerintah sana kuatir dengan menurunnya angka kelahiran https://t.co/FVbZQjG6vp","@masjalu_17 @strike_bravo_b So join childfree,

Cuaks, even though the government there is worried about the declining birth rate https://t.co/FVbZQjG6vp"
65,66,rachmaaprilliaa,"Kalau kalian ngadepin masalah kecil, even yg gede sekalipun.
5. Harus punya perjanjian pra-nikah! 
6. Make sure ke pasangan kalau kalian pengen punya anak atau childfree~
7. Dan yg lebih penting, 
HARUS SIAP LAHIR DAN BATHIN!","If you have a small problem, even a big one.
5. Must have a pre-nuptial agreement!
6. Make sure to your partner if you want to have children or are childfree~
7. And more importantly,
MUST BE READY TO BE BORN AND INNER!"
66,67,shantyoctavia28,@tanyakanrl Pilih punya anak atau childfree nder.,@tanyakanrl Choose to have children or childfree nder.
67,68,_leiiii,@tanyarlfes Cari laki laki yang punya prinsip childfree aja nder..,"@tanyarlfes Looking for a man who has childfree principles, nder.."
68,69,Amrullah_acho,Karena tidak Childfree???,Because not Childfree???
69,70,yulidearest,"@tanyarlfes Jodoh akan selalu menemani, kalau ini bkn jodoh namanya. Jaman skrg sdh bnyak skali pasangan yg childfree kak, mereka lbh tenang jika hanya berdua saja, coba cek akun instagram nya coach kei savourie disana dibahasa tntg keintiman pasangan+ciri2 hubungan yg sesuai","@tanyarlfes A soulmate will always accompany you, if this isn't a match, it's called a match. Nowadays, there are lots of couples who are childfree, sis. They are calmer when it's just the two of them. Check out coach kei savourie's Instagram account, where it talks about partner intimacy + appropriate relationship characteristics"
70,71,RahmatRRor,@tanyarlfes Semoga ketemu laki² yg menjunjung childfree,@tanyarlfes I hope you meet men who uphold childfree
71,72,mooniyy,"@DanteAruma_ Mau childfree juga boleh kok, kalo kita takut tdk bisa mendidik dan memanusiakannya.. semua tergantung niat.","@DanteAruma_ If you want to be childfree, that's okay, if we're afraid we can't educate and humanize it.. it all depends on intentions."
72,73,AlfaSidic,@tanyarlfes Aku mau. Seriously. Ngga terlalu pengen punya anak tapi ga menetapkan buat childfree juga.,@tanyarlfes I would. Seriously. I don't really want to have children but I don't decide to be childfree either.
73,74,UrfxckinD,@tanyarlfes Sekarang banyak yg menganut paham childfree. Ini bisa jadi opsi utk mencari pasangan nikah. Cari yg menganut paham ini.,@tanyarlfes Now many adhere to childfree ideas. This could be an option to find a marriage partner. Look for those who adhere to this understanding.
74,75,mirajmee,"@tanyarlfes Cari yg pengej childfree aja
Santai
Semua ada jalan keluarnya","@tanyarlfes Just look for those who want to be childfree
Relax
There is a solution for everything"
75,76,ucibandits,"You can be as childfree as you want, but remember that you’ll be an empty soul when your spouse have died…you’ll get lonely when your beloved friends enjoying their times with their grandkids…and if you are a Muslim, who will pray for you when you’re dead?","You can be as childfree as you want, but remember that you’ll be an empty soul when your spouse have died…you’ll get lonely when your beloved friends enjoying their times with their grandkids…and if you are a Muslim, who will pray for you when you’re dead?"
76,77,desem,"@tanyarlfes santai aja Nduk usia mu baru 23, masih panjang jalan membentang di depan.. lagian era mu kan childfree, pasti ada lah cowok yang bisa menerimamu dengan suka cita.. liat sisi positifnya, tembak dalam teruuus..","@tanyarlfes take it easy Nduk you're only 23, there's still a long way to go ahead.. besides, your era is childfree, there must be a guy who can accept you with joy.. see the positive side, shoot it deep.."
77,78,hafidanuu_,@fidhaaa_ childfree aja pid,@fidhaaa_ childfree order pid
78,79,brokenwing__,"@tanyarlfes Hai kak
Pasti ada kok
Skrg jg byk laki2 yg pngen childfree
Ttp semangat dan berjuang ya kak
Kamu hebat!","@tanyarlfes Hi sis
There must be
Now there are also many men who want to be childfree
Keep up the spirit and fight, sis
You are great!"
79,80,bucinyoongguk,@tanyarlfes Nikah sama orng yg childfree aja,@tanyarlfes Nikah sama orng yg childfree aja
80,81,rusman_plat_d,"@tanyarlfes ""apakah ada laki2 di dunia ini yg mau punya istri tanpa rahim?""
Ada ko cwo yg nikahin cwe punya rahim tapi ga mau punya anak a.k.a childfree","@tanyarlfes ""Are there any men in this world who want to have a wife without a uterus?""
There are guys who marry girls who have a uterus but don't want to have children a.k.a childfree"
81,82,soyaapandan,"@tanyarlfes Cari yg mau menganut childfree kak, gapapa kak yg tabah yaa","@tanyarlfes Looking for someone who wants to be childfree, Sis, it's okay Sis, be patient"
82,83,islanderzg,"@tanyarlfes Suami aku tidak menganut childfree, cuman dia menghargai aku untuk memilih punya anak atau ngga","@tanyarlfes My husband doesn't adhere to childfree, he just respects me whether I choose to have children or not"
83,84,ravaindiarta,"@tanyarlfes Nder... Smoga kamu sabar.

Tapi kmu ingat kmaren rame childfree, yg mereka dihujat sana sini? Kmu tau, berarti masih ada orang yg nikah tapi tujuannya bukan anak, tapi untuk berdua bersama sampai nanti selamanya.","@tanyarlfes Nder... I hope you are patient.

But do you remember yesterday when it was crowded with childfree, which they blasphemed here and there? You know, it means that there are still people who get married but the goal is not to have children, but to be together forever."
84,85,weniwidy,@tanyarlfes Ada banyaaaak bet laki pilih childfree sis. Ampe ada grupnya jg kok di fb dan member kaum laki gabisa diblg sedikit jg disitu. Mangat yahh. Emg blm jodoh jg sm cowo yg skrg🫶,@tanyarlfes There are a lot of guys who choose childfree sis. There's even a group on FB and the male members can't be said a bit there either. Good luck. I'm not even married to the current guy🫶
85,86,KitakataOfc,"@tanyarlfes Semangat ya kak. Bukan tidak sempurna, tetapi prinsip dan tujuan orang alias visi misi kan berbeda.

Contoh Gitasav dan partohap, yang decide untuk childfree.

Kakak belum menemukan sosok itu yang sevisi misi nih. Even, kakak childfree karena keadaan. Tapi. Semangat kak.","@tanyarlfes Keep spirit sis. Not imperfect, but people's principles and goals, aka vision and mission, are different.

Examples of Gitasav and partohap, which decide to be childfree.

Sis, I haven't found that figure who has the same vision and mission. Even, brother childfree due to circumstances. But. Keep spirit sis."
86,87,sbrnchrnns,"laki yang pengen childfree banyak kok.
tenang aja.
asal nanti diomongin di awal soal itu, biar ga wasting time aja","There are lots of men who want to be childfree.
just calm down.
as long as you talk about it at the beginning, so you don't just waste time"
87,88,kembangmlathi,@tanyarlfes Cari yang childfree kak.,@tanyarlfes Cari yang childfree kak.
88,89,ms_ahmadn,"@tanyarlfes Cari cowok yg punya mindset childfree nder, ada kok pastinya. Wajar sih cowok mu pengen punya anak nanti, setidaknya ada generasi keluarganya nanti.","@tanyarlfes Looking for a guy who has a childfree mindset, there's one for sure. It's normal for your boyfriend to want to have children later, at least there will be generations of his family later."
89,90,TirtaSuryana,"@tanyarlfes Cari yg childfree nder, bukannya sekarang dah banyak","@tanyarlfes Looking for childfree nder, aren't there already a lot of them"
90,91,filmorebody,"Ask us anything about
👶Childfree🚫

Anonymously!🤫
https://t.co/bpBq2kJ6yT","Ask us anything about
👶Childfree🚫

Anonymously!🤫
https://t.co/bpBq2kJ6yT"
91,92,hayeuw,@tanyarlfes kata aku ma mending si ibu ini childfree aja,@tanyarlfes I said it would be better for this mother to be childfree
92,93,gubahancip,childfree,childfree
93,94,_banggiel,"@inggaharya @_tpml Iyahhh, soalnya aku childfree.","@inggaharya @_tpml Yes, because I am childfree."
94,95,beacukaitarakan,"Kegiatan “BERANI” yang dilaksanakan, di narasumberi langsung oleh dua orang perwakilan pegawai yang bertugas di Seksi PKC dan PDAD, yaitu Anggid yang berbagi ilmu tentang Fenomena Childfree, serta Rifqi Fajriansyah, yang berbagi ilmu tentang Metode Diet ala Rifqi. https://t.co/meqtoVQTBa","The “BERANI” activity that was carried out was directly attended by two employee representatives who served in the CCP and PDAD Sections, namely Anggid who shared knowledge about the Childfree Phenomenon, and Rifqi Fajriansyah, who shared knowledge about Rifqi's Diet Method. https://t.co/meqtoVQTBa"
95,96,thesideofv,@TutupKurun9 @tanyakanrl kalo optionnya begini mending childfree bae wkwk,"@TutupKurun9 @tanyakanrl if the options are like this, it's better to be childfree, ok?"
96,97,sallytsundere,@pejabrut pns childfree disuruh bayar iuran juga?,@pejabrut childfree civil servants are told to pay dues too?
97,98,wibowobp,Kadang ada manfaatnya juga ChildFree bagi Presiden Pertama Negara apapun.,Sometimes there are also benefits of ChildFree for the First President of any country.
98,99,haysyng,"Tbtb pgn childfree, grgr nge liat jamam skrng serem bgt lgbt dimana mana, isu perpolitikan yg makin kesini makin serem bisa bisanya politik dibawa bawa ke ranah sekolah","Tbtb don't be childfree, it's grgr to see that nowadays it's really scary, lgbt everywhere, political issues that are getting here are getting more and more scary, how can politics be brought into the realm of school"
99,100,nadiinosaurus,"emak emak muda jaman skrg nih yg bikin gue sebel. masih mau childfree, nongkrong sana sini tp gamau di ribetin anak dan akhirnya nitip ke orang demi jiwa sosialita nya.","It's young mothers nowadays who annoy me. I still want to be childfree, hanging out here and there but I don't want to be bothered by the children and in the end I leave people for the sake of their socialite soul."
100,101,forstzly,apakah childfree adalah solusi 🤔,is childfree a solution 🤔
101,102,kintanfp,@downyskze punk = childfree,@downyskze punk = childfree
102,103,JHPrabowo,Di sini kampanye childfree 🤣😆🤣,Here is the childfree campaign 🤣😆🤣
103,104,pepsostrash,Hari-hari menemukan alasan untuk childfree,The days of finding excuses to be childfree
104,105,qnaluam,"Gitasav was right. Childfree
Child : anak
Free : bebas
Childfree : anak bebas, punk og","Gitasav was right. Childfree
Child : anak
Free : Bebas
Childfree : anak bebas, punk og"
105,106,nashrafeeg,no I am still staying #childfree fate of humanity does not depend on me procreating,no I am still staying #childfree fate of humanity does not depend on me procreating
106,107,lordkara88,@prabu_abimanyu Orang2 dg kelainan jiwa harus childfree. Rahim atau otongnya di steril aja.,@prabu_abimanyu People with mental disorders must be childfree. The uterus or the muscles are sterile.
107,108,mgenesisjohn,"In countries like Japan and Korea, when you engage in marriage and family, you could be seen as a revolutionary, as most people there remain childfree and single","In countries like Japan and Korea, when you engage in marriage and family, you could be seen as a revolutionary, as most people there remain childfree and single"
108,109,fvckdarulez,Kenapa bapakmu gak childfree dulu pak?,"Why wasn't your father childfree before, sir?"
109,110,eurekamilikita,Childfree is not a bad choice🤌🏻,Childfree is not a bad choice🤌🏻
110,111,ntoniusn,"Childfree mana paham bangganya jadi ortu liat bocilnya ukir terus prestasi 😊

Alhamdulillah, piala ke-2 dari turnamen kedua yang diikutin. Lumayan, dapet juara 3 + cleansheet sebelum goalie di rotasi 😎

Thank you Aa Agung @persikabo__1973 yg datang support anak-anak kemarin 💪 https://t.co/tCweBo91EF","Childfree who understands the pride of being a parent to see the child continue to make achievements 😊

Alhamdulillah, the 2nd trophy from the second tournament that was followed. Not bad, got 3rd place + clean sheet before the goalie was rotated 😎

Thank you Aa Agung @persikabo__1973 who came to support the children yesterday 💪 https://t.co/tCweBo91EF"
111,112,bananaramashit,Childfree gue kata juga daripada babyblues,Childfree I say also from babyblues
112,113,aqillazi,@einedame Mind your own business! Lu banding2in sama orang yg childfree gt biar apa si??Orang punya tipe kebahagiaan sendiri2. Gausa la mslh childfree or punya anak. Liat kucingku tidur pules gini aja bagiku jg udh sangat2 membahagiakan https://t.co/nVyY0iYUon,"@einedame Mind your own business! What do you compare to people who are childfree, how come? People have their own type of happiness. Gausa la problem childfree or have children. Just seeing my cat sleeping soundly like this makes me very happy too https://t.co/nVyY0iYUon"
113,114,fasfashan,@unmagnetism Mending childfree ya un,@unmagnetism Mending childfree ya un
114,115,gabriellegebiii,naik bis terus ada anak kecil ruame terus nendang2 kursi pisan. kuampung memang tp ya ibu e mek siji anak e telu HADEUH apakah aku childfree ae,"while riding the bus, there was a small child who kept kicking the seats. Kuampung is indeed good, but yes, I am a mother with one child and three. It is good if I am childfree"
115,116,ragdvr,@tanyakanrl Childfree couples tried to save this tweet to their favorites multiple times,@tanyakanrl Childfree couples tried to save this tweet to their favorites multiple times
116,117,crepusculeum,@m1ndofmine__ @toppingchatime Ini maksudna pas ak gendong km duluu ACEL YG NGOMONG CHILDFREE YA,"@m1ndofmine__ @toppingchatime This is what I mean as soon as I carry the km first, ACEL YOU SAY CHILDFREE YES"
117,118,tomingartun,@tonobuwono @AkalBuku Ada selebgram Yang memilih childfree justru dihujat habis2an,"@tonobuwono @AkalBuku There is a celebgram who chooses childfree, they are completely insulted"
118,119,somewhereserene,@adindasilaen Malah childfree mudik tuh ada ada aja,@adindasilaen There are even childfree going home
119,120,fidelazan,"Perbedaane mek siji ndek video iki. Video 2022 @angganteeeng durung terketuk hatine untuk momong thuthu dan naya. Video 2023 @angganteeeng wes terketuk sampek2 kepingin childfree 🤣
Kene kudu tanggung jawab ta @syntapp 🤣🤣🤣 https://t.co/2N7REhgJcn","The only difference is in this video. Video 2022 @angganteeeng hasn't been knocked down yet for momong thuthu and naya. Video 2023 @angganteeeng I've been knocked out so much I want to be childfree 🤣
@syntapp should be responsible here 🤣🤣🤣 https://t.co/2N7REhgJcn"
120,121,RiantDaffa,@fiqafiqqq Prinsipe seng elek childfree,@fiqafiqqq Prinsipe seng elek childfree
121,122,RiantDaffa,@_______salfitri Lak cabe-cabean mending childfree ae untuk mengurangi populasi wong kordes,@_______salfitri Lak chili-cabean better childfree ae to reduce the population of cordes people
122,123,septyadewin,"Gitasav besok pas lebaran, kumpul keluarga besar gitu ditanyain nggak ya, udah isi belum kamu Git? 🤔
""Ohhh, nggak bude/tante, kita childfree""
Masa bisa jawab gitu 🤔","Gitasav tomorrow, Eid, when you are gathering with the big family, do you ask, have you filled in Git yet? 🤔
""Ohhh, no bude/aunt, we are childfree""
Time to answer that 🤔"
123,124,permengagang,Alasan kenapa berang berang ga ada yang childfree,The reason why there is no childfree beaver
